Staffed_Beds,Total_Discharges,ADI_NATRANK,2021/3/10_x,2022/3/10_x,2023/3/10_x,2021/3/10_y,2022/3/10_y,2023/3/10_y,Value_education,Value_poverty,Value_unemployment,pop_commutes_by_car_truck_van_any,pop_commutes_by_public_transport_any,median_age,pop_citizenship_non_us,pop_citizenship_us_native,pop_citizenship_us_naturalized,pop_ethnicity_hispanic_latino,pop_ethnicity_non_hispanic,pop_race_asian,pop_race_black,pop_race_hawaiian_pacific_islander,pop_race_multiple,pop_race_native_american,pop_race_other,pop_race_white,pop_sex_female,pop_sex_male,households_with_annual_income_100000_to_124999,households_with_annual_income_125000_to_149999,households_with_annual_income_150000_to_199999,households_with_annual_income_200000_or_more,households_with_annual_income_30000_to_39999,households_with_annual_income_40000_to_49999,households_with_annual_income_50000_to_59999,households_with_annual_income_60000_to_75499,households_with_annual_income_75000_to_99999,households_with_annual_income_less_than_30000,pop_employment_status_in_labor_force,pop_received_ssi_foodstamps_snap_past_year,households_with_no_internet_access,pop_adult_education_bachelors_or_higher,pop_adult_education_high_school,pop_adult_education_less_than_high_school,pop_adult_education_some_college_or_associates,pop_total
77.0,3049.0,66.97777777777777,6400.0,15559.0,19790.0,93.0,208.0,232.0,21.714285714285715,10.4,4.611538461538462,23401,15,38.6,664.0,54336.0,639.0,1601,54038,649,10866,24,1421,155,374,42150,28587,27052,2248,1288,1027,898,1629,1827,1442,2218,2893,6089,26025,3681,3307,8464,8819,2886,9201,55639
301.0,18080.0,51.53448275862069,20012.0,55159.0,69860.0,293.0,657.0,727.0,21.928571428535715,10.86153846153846,4.830769230769231,88321,146,43.2,3778.0,210820.0,3691.0,9947,208342,2033,19153,10,5677,1514,3398,186504,112400,105889,7621,5375,4893,5562,8239,7969,6148,7970,11536,18734,103116,7530,10018,36513,29636,10250,34448,218289
47.0,1055.0,90.9,2161.0,5458.0,7485.0,51.0,94.0,103.0,22.285714285714285,23.053846153846152,9.8,8103,3,40.1,390.0,24387.0,249.0,1110,23916,122,11929,1,522,88,777,11587,11870,13156,635,214,206,241,984,692,699,824,680,4147,9356,3088,2700,1409,4525,3131,3955,25026
156.0,229.0,83.41176470588235,2469.0,6400.0,8091.0,60.0,100.0,109.0,21.57142857107143,18.446153846153848,8.814814814814815,7770,0,39.9,207.0,22020.0,147.0,600,21774,56,5045,0,114,12,9,17138,10352,12022,600,212,204,157,500,599,628,778,1129,2452,8970,1188,1520,1388,5442,2189,3292,22374
0.0,0.0,72.32558139534883,6260.0,14861.0,18704.0,129.0,227.0,261.0,21.571428571785717,10.6,4.480769230769231,21919,34,41.0,1437.0,55241.0,1077.0,5362,52393,236,808,55,1293,55,1037,54271,29078,28677,1540,1091,1034,580,2406,2109,1794,1996,2283,6372,24133,2749,3920,4158,9757,4494,11023,57755
54.0,208.0,93.0,1180.0,2282.0,3030.0,39.0,51.0,54.0,22.285714285714285,28.846153846153847,9.95185185185185,3733,0,39.7,86.0,10020.0,67.0,824,9349,137,6980,0,75,0,318,2663,4595,5578,388,38,45,95,254,195,441,155,258,1560,4146,1076,1040,393,2251,1321,1181,10173
57.0,669.0,83.63157894736842,2022.0,5041.0,6551.0,66.0,124.0,132.0,22.28571428535714,22.86923076923077,10.074074074074074,7536,7,41.2,281.0,19358.0,87.0,290,19436,261,8795,0,323,66,98,10183,10676,9050,565,343,222,174,613,736,424,622,622,2328,8522,1510,1558,1592,4617,1128,2391,19726
570.0,13830.0,78.37623762376238,13989.0,32162.0,41421.0,296.0,601.0,680.0,21.77857142857143,16.715384615384615,8.925925925925926,44995,69,39.5,1523.0,111479.0,1322.0,4406,109918,925,24190,327,2852,358,1871,83801,59399,54925,3857,1879,1480,1150,4750,3629,4182,4362,5445,13838,52189,8373,7999,10764,19671,8041,20246,114324
29.0,460.0,86.46666666666667,3438.0,8446.0,10859.0,113.0,158.0,172.0,22.21071428535714,21.00769230769231,9.774074074074074,13695,0,41.9,427.0,32806.0,194.0,843,32584,368,13372,9,318,81,264,19015,17499,15928,814,582,220,214,1693,1043,1256,1222,1834,4704,15272,2301,3133,2451,6489,2309,5992,33427
45.0,1005.0,75.84,1786.0,5102.0,6755.0,42.0,81.0,89.0,22.357142857142858,18.130769230769232,8.255555555555556,9776,10,46.8,361.0,25532.0,142.0,432,25603,26,1250,0,427,150,212,23970,13160,12875,817,209,375,357,1460,791,896,1101,1145,3685,10754,1290,2408,1914,4776,2137,4347,26035
26.0,652.0,80.03125,3935.0,10784.0,13009.0,104.0,195.0,219.0,21.57499999964286,13.807692307692308,4.796153846153846,16881,7,39.5,1340.0,42207.0,600.0,3423,40724,195,4268,0,1349,504,1571,36260,22627,21520,1340,538,720,401,1604,1152,1752,1737,2350,5546,18905,2987,4039,2798,9864,4075,6098,44147
0.0,0.0,93.0,565.0,2039.0,2259.0,24.0,35.0,39.0,22.778571428571432,23.253846153846155,10.351851851851851,4156,0,46.6,23.0,12642.0,90.0,69,12686,25,5398,0,61,7,11,7253,6723,6032,480,74,236,46,663,403,241,343,608,2236,4733,1123,1710,985,2145,805,2380,12755
