fips,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue,ADI_NATRANK,2021/3/10_x,2022/3/10_x,2023/3/10_x,2021/3/10_y,2022/3/10_y,2023/3/10_y,Value_education,Value_poverty,Value_unemployment,pct_pop_commutes_by_car_truck_van_any,pct_pop_commutes_by_public_transport_any,pct_pop_commutes_by_bicycle,pct_pop_citizenship_non_us,pct_pop_citizenship_us_native,pct_pop_citizenship_us_naturalized,pct_pop_ethnicity_hispanic_latino,pct_pop_race_asian,pct_pop_race_black,pct_pop_race_hawaiian_pacific_islander,pct_pop_race_multiple,pct_pop_race_native_american,pct_pop_race_white,pct_pop_sex_female,pct_pop_sex_male,pct_households_with_annual_income_100000_to_124999,pct_households_with_annual_income_125000_to_149999,pct_households_with_annual_income_150000_to_199999,pct_households_with_annual_income_200000_or_more,pct_households_with_annual_income_30000_to_39999,pct_households_with_annual_income_40000_to_49999,pct_households_with_annual_income_50000_to_59999,pct_households_with_annual_income_60000_to_75499,pct_households_with_annual_income_75000_to_99999,pct_households_with_annual_income_less_than_30000,pct_pop_employment_status_in_labor_force,pct_pop_received_ssi_foodstamps_snap_past_year,pct_pop_works_industry_agriculture_forestry_fishing_hunting_mining,pct_pop_works_industry_armed_forces,pct_pop_works_industry_arts_entertainment_food_services,pct_pop_works_industry_construction,pct_pop_works_industry_educational_healthcare_social_assistance,pct_pop_works_industry_finance_insurance_real_estate,pct_pop_works_industry_information,pct_pop_works_industry_manufacturing,pct_pop_works_industry_other_services,pct_pop_works_industry_professional_scientific_management,pct_pop_works_industry_public_administration,pct_pop_works_industry_retail_trade,pct_pop_works_industry_transportation_warehousing_utilities,pct_pop_works_industry_wholesale_trade,pct_households_with_no_internet_access,pct_pop_veterans,pct_pop_adult_education_bachelors_or_higher,pct_pop_adult_education_high_school,pct_pop_adult_education_less_than_high_school,pct_pop_adult_education_some_college_or_associates,pop_commutes_by_car_truck_van_any,pop_commutes_by_public_transport_any,pop_commutes_by_bicycle,median_age,pop_citizenship_non_us,pop_citizenship_us_native,pop_citizenship_us_naturalized,pop_ethnicity_hispanic_latino,pop_race_asian,pop_race_black,pop_race_hawaiian_pacific_islander,pop_race_multiple,pop_race_native_american,pop_race_white,pop_sex_female,pop_sex_male,households_with_annual_income_100000_to_124999,households_with_annual_income_125000_to_149999,households_with_annual_income_150000_to_199999,households_with_annual_income_200000_or_more,households_with_annual_income_30000_to_39999,households_with_annual_income_40000_to_49999,households_with_annual_income_50000_to_59999,households_with_annual_income_60000_to_75499,households_with_annual_income_75000_to_99999,households_with_annual_income_less_than_30000,pop_employment_status_in_labor_force_civilian_unemployed,pop_employment_status_in_labor_force,pop_received_ssi_foodstamps_snap_past_year,pop_works_industry_agriculture_forestry_fishing_hunting_mining,pop_works_industry_armed_forces,pop_works_industry_arts_entertainment_food_services,pop_works_industry_construction,pop_works_industry_educational_healthcare_social_assistance,pop_works_industry_finance_insurance_real_estate,pop_works_industry_information,pop_works_industry_manufacturing,pop_works_industry_other_services,pop_works_industry_professional_scientific_management,pop_works_industry_public_administration,pop_works_industry_retail_trade,pop_works_industry_transportation_warehousing_utilities,pop_works_industry_wholesale_trade,households_with_no_internet_access,pop_adult_education_bachelors_or_higher,pop_adult_education_high_school,pop_adult_education_less_than_high_school,pop_adult_education_some_college_or_associates,pop_veterans,pop_total
1001,77.0,3049.0,15984.0,250284.0,66.97777777777777,6400.0,15559.0,19790.0,93.0,208.0,232.0,21.714285714285715,10.4,4.611538461538462,42.058628,0.02696,0.0,1.193408,2.76964,1.148475,2.877478,1.166448,19.529467,0.043135,2.553964,0.278582,75.756214,51.379428,48.620572,10.4272,5.974303,4.763672,4.165314,7.556009,8.474419,6.688622,10.288047,13.41899,28.243425,46.774744,6.615863,0.345082,1.274286,3.64852,3.249519,8.679164,2.385018,0.485271,4.874279,2.201693,4.327899,4.728697,4.716116,2.491058,1.434246,15.339301,8.193893,15.212351,15.850393,5.187009,16.536961,23401,15,0,38.6,664.0,54336.0,639.0,1601,649,10866,24,1421,155,42150,28587,27052,2248,1288,1027,898,1629,1827,1442,2218,2893,6089,736,26025,3681,192,709,2030,1808,4829,1327,270,2712,1225,2408,2631,2624,1386,798,3307,8464,8819,2886,9201,4559,55639
1003,301.0,18080.0,78361.0,2481966.0,51.53448275862069,20012.0,55159.0,69860.0,293.0,657.0,727.0,21.928571428535715,10.86153846153846,4.830769230769231,40.460582,0.066884,0.0,1.730733,1.766924,1.690878,4.556803,0.931334,8.774148,0.004581,2.600681,0.693576,85.439028,51.491372,48.508628,9.067546,6.395231,5.821743,6.617726,9.802848,9.4816,7.314955,9.482789,13.725654,22.289909,47.238294,3.449555,0.804438,0.147053,4.360275,3.557211,8.56067,3.399622,0.490176,4.243915,2.209914,4.806472,2.386744,6.085052,2.203043,1.226814,11.919521,8.783768,16.726908,13.576497,4.69561,15.780914,88321,146,0,43.2,3778.0,210820.0,3691.0,9947,2033,19153,10,5677,1514,186504,112400,105889,7621,5375,4893,5562,8239,7969,6148,7970,11536,18734,4027,103116,7530,1756,321,9518,7765,18687,7421,1070,9264,4824,10492,5210,13283,4809,2678,10018,36513,29636,10250,34448,19174,218289
1005,47.0,1055.0,4571.0,76099.0,90.9,2161.0,5458.0,7485.0,51.0,94.0,103.0,22.285714285714285,23.053846153846152,9.8,32.378327,0.011988,0.0,1.558379,0.631343,0.994965,4.435387,0.487493,47.666427,0.003996,2.085831,0.351634,46.299848,47.430672,52.569328,6.811843,2.295645,2.209826,2.585282,10.555675,7.4233,7.498391,8.839305,7.294572,44.486162,37.385119,12.339167,1.997922,0.0,2.185727,2.061856,6.277471,1.362583,0.271717,8.30736,1.310637,1.650284,2.477423,3.624231,1.94198,0.715256,28.963742,5.354431,5.630145,18.081196,12.510989,15.803564,8103,3,0,40.1,390.0,24387.0,249.0,1110,122,11929,1,522,88,11587,11870,13156,635,214,206,241,984,692,699,824,680,4147,649,9356,3088,500,0,547,516,1571,341,68,2079,328,413,620,907,486,179,2700,1409,4525,3131,3955,1340,25026
1007,156.0,229.0,1053.0,31288.0,83.41176470588235,2469.0,6400.0,8091.0,60.0,100.0,109.0,21.57142857107143,18.446153846153848,8.814814814814815,34.727809,0.0,0.0,0.925181,0.943059,0.657013,2.681684,0.250291,22.548494,0.0,0.50952,0.053634,76.597837,46.26799,53.73201,8.265601,2.920512,2.810304,2.162832,6.888001,8.251825,8.651329,10.71773,15.553106,33.778757,40.091177,5.309735,1.752034,0.0,1.010101,3.365514,8.31769,1.859301,0.531867,5.390185,2.185573,2.440333,2.131939,3.781175,2.306248,1.162063,20.939523,5.385716,6.203629,24.322875,9.783677,14.713507,7770,0,0,39.9,207.0,22020.0,147.0,600,56,5045,0,114,12,17138,10352,12022,600,212,204,157,500,599,628,778,1129,2452,667,8970,1188,392,0,226,753,1861,416,119,1206,489,546,477,846,516,260,1520,1388,5442,2189,3292,1205,22374
1009,0.0,0.0,0.0,0.0,72.32558139534883,6260.0,14861.0,18704.0,129.0,227.0,261.0,21.571428571785717,10.6,4.480769230769231,37.951692,0.058869,0.039823,2.488096,0.746256,1.864774,9.284045,0.408623,1.399013,0.09523,2.238767,0.09523,93.967622,50.347156,49.652844,7.262438,5.145013,4.876208,2.735204,11.346381,9.945768,8.460269,9.412874,10.766329,30.049517,41.785127,4.759761,0.649294,0.076184,1.897671,3.596225,8.330015,2.295905,0.389577,6.870401,2.010216,2.934811,1.46654,4.068912,2.964246,1.643148,18.486206,5.900788,7.199377,16.893775,7.781144,19.085793,21919,34,23,41.0,1437.0,55241.0,1077.0,5362,236,808,55,1293,55,54271,29078,28677,1540,1091,1034,580,2406,2109,1794,1996,2283,6372,1253,24133,2749,375,44,1096,2077,4811,1326,225,3968,1161,1695,847,2350,1712,949,3920,4158,9757,4494,11023,3408,57755
1011,54.0,208.0,1317.0,42632.0,93.0,1180.0,2282.0,3030.0,39.0,51.0,54.0,22.285714285714285,28.846153846153847,9.95185185185185,36.695173,0.0,0.0,0.845375,1.051804,0.658606,8.099872,1.346702,68.612995,0.0,0.737246,0.0,26.177136,45.168583,54.831416,11.315252,1.108195,1.312336,2.770487,7.407407,5.686789,12.860892,4.520268,7.524059,45.494313,40.75494,10.577018,1.032144,0.0,3.175071,2.880173,5.553917,0.658606,0.520987,15.147941,1.327042,1.268063,3.46997,2.142927,1.63177,0.363708,30.329542,2.870343,3.863167,22.127199,12.985353,11.609161,3733,0,0,39.7,86.0,10020.0,67.0,824,137,6980,0,75,0,2663,4595,5578,388,38,45,95,254,195,441,155,258,1560,139,4146,1076,105,0,323,293,565,67,53,1541,135,129,353,218,166,37,1040,393,2251,1321,1181,292,10173
1013,57.0,669.0,3081.0,164248.0,83.63157894736842,2022.0,5041.0,6551.0,66.0,124.0,132.0,22.28571428535714,22.86923076923077,10.074074074074074,38.203386,0.035486,0.0,1.424516,0.476528,0.441042,1.470141,1.323127,44.585826,0.0,1.637433,0.334584,51.622224,54.121464,45.878536,8.497518,5.15867,3.338848,2.616935,9.219431,11.069334,6.376899,9.35479,9.35479,35.012784,43.201866,7.654872,1.171043,0.0,4.096117,1.576599,7.051607,2.027781,0.385278,10.296056,2.235628,2.478962,2.144378,4.060631,1.804725,0.689445,23.432095,4.942715,8.070567,23.405657,5.718341,12.121058,7536,7,0,41.2,281.0,19358.0,87.0,290,261,8795,0,323,66,10183,10676,9050,565,343,222,174,613,736,424,622,622,2328,551,8522,1510,231,0,808,311,1391,400,76,2031,441,489,423,801,356,136,1558,1592,4617,1128,2391,975,19726
1015,570.0,13830.0,71309.0,2163354.0,78.37623762376238,13989.0,32162.0,41421.0,296.0,601.0,680.0,21.77857142857143,16.715384615384615,8.925925925925926,39.35744,0.060355,0.037612,1.332179,2.043315,1.156363,3.853959,0.809104,21.159162,0.286029,2.494664,0.313145,73.301319,51.956719,48.04328,8.653415,4.215651,3.32047,2.580095,10.656915,8.141883,9.382572,9.786413,12.21619,31.046397,45.650082,7.323921,0.547567,0.450474,3.472587,2.136909,9.032224,1.592841,0.523949,7.491865,1.833386,2.826178,3.225919,5.435429,1.756412,1.09076,17.946244,7.780519,9.415346,17.206361,7.033519,17.709317,44995,69,43,39.5,1523.0,111479.0,1322.0,4406,925,24190,327,2852,358,83801,59399,54925,3857,1879,1480,1150,4750,3629,4182,4362,5445,13838,3769,52189,8373,626,515,3970,2443,10326,1821,599,8565,2096,3231,3688,6214,2008,1247,7999,10764,19671,8041,20246,8895,114324
1017,29.0,460.0,2106.0,0.0,86.46666666666667,3438.0,8446.0,10859.0,113.0,158.0,172.0,22.21071428535714,21.00769230769231,9.774074074074074,40.969875,0.0,0.0,1.27741,0.82568,0.580369,2.521913,1.100906,40.00359,0.026924,0.951327,0.242319,56.885153,52.349897,47.650103,5.993226,4.285083,1.619791,1.575615,12.465027,7.679281,9.247533,8.997202,13.503166,34.634074,45.687618,6.883657,0.999192,0.0,2.791157,1.720166,7.64053,1.887696,0.951327,12.759147,1.591528,3.356568,1.911628,3.727526,2.210788,0.894486,23.067295,5.914381,7.332396,19.412451,6.90759,17.925629,13695,0,0,41.9,427.0,32806.0,194.0,843,368,13372,9,318,81,19015,17499,15928,814,582,220,214,1693,1043,1256,1222,1834,4704,548,15272,2301,334,0,933,575,2554,631,318,4265,532,1122,639,1246,739,299,3133,2451,6489,2309,5992,1977,33427
1019,45.0,1005.0,4423.0,92722.0,75.84,1786.0,5102.0,6755.0,42.0,81.0,89.0,22.357142857142858,18.130769230769232,8.255555555555556,37.549453,0.03841,0.0,1.386595,0.50701,0.54542,1.659305,0.099866,4.801229,0.0,1.6401,0.576147,92.068369,50.54734,49.45266,7.539683,1.928756,3.460687,3.294574,13.473606,7.299742,8.268734,10.160576,10.56663,34.007014,41.305934,4.954868,1.298252,0.0,2.465911,3.637411,9.160745,1.398118,0.265028,8.699827,1.981947,1.463415,2.135587,4.006146,2.204724,0.483964,22.222222,6.130209,7.351642,18.344536,8.208181,16.696754,9776,10,0,46.8,361.0,25532.0,142.0,432,26,1250,0,427,150,23970,13160,12875,817,209,375,357,1460,791,896,1101,1145,3685,444,10754,1290,338,0,642,947,2385,364,69,2265,516,381,556,1043,574,126,2408,1914,4776,2137,4347,1596,26035
